年,賞タイトル,賞,受賞・最終候補作,著者,出版,著者__受賞・最終候補作,key,追加日時,発表日,並べ順日付,ISBN10,複数受賞,calil,ImageURL,賞タイプ
2024,週刊文春ミステリーベスト10,国内部門01,地雷グリコ,青崎有吾,,青崎有吾__地雷グリコ,2024_週刊文春ミステリーベスト10_国内部門01_地雷グリコ_青崎有吾,2024/12/09 16:51:51,2024/12/12,2024/12/12,404111165X,8,https://calil.jp/book/404111165X,https://images-na.ssl-images-amazon.com/images/P/404111165X.09.LZZZZZZZ,1大賞!
2024,週刊文春ミステリーベスト10,海外部門01,死はすぐそばに,アンソニー・ホロヴィッツ,,アンソニー・ホロヴィッツ__死はすぐそばに,2024_週刊文春ミステリーベスト10_海外部門01_死はすぐそばに_アンソニー・ホロヴィッツ,2024/12/09 16:51:51,2024/12/12,2024/12/12,4488265154,4,https://calil.jp/book/4488265154,https://images-na.ssl-images-amazon.com/images/P/4488265154.09.LZZZZZZZ,1大賞!
2024,週刊文春ミステリーベスト10,国内部門02,冬期限定ボンボンショコラ事件,米澤穂信,,米澤穂信__冬期限定ボンボンショコラ事件,2024_週刊文春ミステリーベスト10_国内部門02_冬期限定ボンボンショコラ事件_米澤穂信,2024/12/09 16:51:51,2024/12/12,2024/12/12,4488451128,4,https://calil.jp/book/4488451128,https://images-na.ssl-images-amazon.com/images/P/4488451128.09.LZZZZZZZ,候補
2024,週刊文春ミステリーベスト10,国内部門03,禁忌の子,山口未桜,,山口未桜__禁忌の子,2024_週刊文春ミステリーベスト10_国内部門03_禁忌の子_山口未桜,2024/12/09 16:51:51,2024/12/12,2024/12/12,4488025692,2,https://calil.jp/book/4488025692,https://images-na.ssl-images-amazon.com/images/P/4488025692.09.LZZZZZZZ,候補
2024,週刊文春ミステリーベスト10,国内部門04,檜垣澤家の炎上,永嶋恵美,,永嶋恵美__檜垣澤家の炎上,2024_週刊文春ミステリーベスト10_国内部門04_檜垣澤家の炎上_永嶋恵美,2024/12/09 16:51:51,2024/12/12,2024/12/12,4101054517,3,https://calil.jp/book/4101054517,https://images-na.ssl-images-amazon.com/images/P/4101054517.09.LZZZZZZZ,候補
2024,週刊文春ミステリーベスト10,国内部門05,法廷占拠 爆弾2,呉勝浩,,呉勝浩__法廷占拠 爆弾2,2024_週刊文春ミステリーベスト10_国内部門05_法廷占拠 爆弾2_呉勝浩,2024/12/09 16:51:51,2024/12/12,2024/12/12,4065363047,2,https://calil.jp/book/4065363047,https://images-na.ssl-images-amazon.com/images/P/4065363047.09.LZZZZZZZ,候補
2024,週刊文春ミステリーベスト10,国内部門06,ぼくは化け物きみは怪物,白井智之,,白井智之__ぼくは化け物きみは怪物,2024_週刊文春ミステリーベスト10_国内部門06_ぼくは化け物きみは怪物_白井智之,2024/12/09 16:51:51,2024/12/12,2024/12/12,4334104037,4,https://calil.jp/book/4334104037,https://images-na.ssl-images-amazon.com/images/P/4334104037.09.LZZZZZZZ,候補
2024,週刊文春ミステリーベスト10,国内部門07,明智恭介の奔走,今村昌弘,,今村昌弘__明智恭介の奔走,2024_週刊文春ミステリーベスト10_国内部門07_明智恭介の奔走_今村昌弘,2024/12/09 16:51:51,2024/12/12,2024/12/12,448802906X,1,https://calil.jp/book/448802906X,https://images-na.ssl-images-amazon.com/images/P/448802906X.09.LZZZZZZZ,候補
2024,週刊文春ミステリーベスト10,国内部門08,乱歩殺人事件――「悪霊」ふたたび,芦辺拓,,芦辺拓__乱歩殺人事件――「悪霊」ふたたび,2024_週刊文春ミステリーベスト10_国内部門08_乱歩殺人事件――「悪霊」ふたたび_芦辺拓,2024/12/09 16:51:51,2024/12/12,2024/12/12,4041146356,2,https://calil.jp/book/4041146356,https://images-na.ssl-images-amazon.com/images/P/4041146356.09.LZZZZZZZ,候補
2024,週刊文春ミステリーベスト10,国内部門09,少女には向かない完全犯罪,方丈貴恵,,方丈貴恵__少女には向かない完全犯罪,2024_週刊文春ミステリーベスト10_国内部門09_少女には向かない完全犯罪_方丈貴恵,2024/12/09 16:51:51,2024/12/12,2024/12/12,4065367107,4,https://calil.jp/book/4065367107,https://images-na.ssl-images-amazon.com/images/P/4065367107.09.LZZZZZZZ,候補
