著者__受賞・最終候補作,受賞作,著者名,ISBN10,ImageURL,賞名,Calil
一穂ミチ__ツミデミック,ツミデミック,一穂ミチ,4334101399,https://images-na.ssl-images-amazon.com/images/P/4334101399.09.LZZZZZZZ,2024_直木賞_171回（2024年上半期）_ツミデミック_一穂ミチ,https://calil.jp/book/4334101399
松永K三蔵__バリ山行,バリ山行,松永K三蔵,4065369606,https://images-na.ssl-images-amazon.com/images/P/4065369606.09.LZZZZZZZ,2024_芥川賞_171回（2024年上半期）_バリ山行_松永K三蔵,https://calil.jp/book/4065369606
朝比奈秋__サンショウウオの四十九日,サンショウウオの四十九日,朝比奈秋,4103557311,https://images-na.ssl-images-amazon.com/images/P/4103557311.09.LZZZZZZZ,2024_芥川賞_171回（2024年上半期）_サンショウウオの四十九日_朝比奈秋,https://calil.jp/book/4103557311
霜月流__遊廓島心中譚,遊廓島心中譚,霜月流,4065368316,https://images-na.ssl-images-amazon.com/images/P/4065368316.09.LZZZZZZZ,2024_江戸川乱歩賞_第70回（2024年度）受賞_遊廓島心中譚_霜月流,https://calil.jp/book/4065368316
日野瑛太郎__フェイク・マッスル,フェイク・マッスル,日野瑛太郎,4065361915,https://images-na.ssl-images-amazon.com/images/P/4065361915.09.LZZZZZZZ,2024_江戸川乱歩賞_第70回（2024年度）受賞_フェイク・マッスル_日野瑛太郎,https://calil.jp/book/4065361915
キム・ホヨン__不便なコンビニ,不便なコンビニ,キム・ホヨン,4093567468,https://images-na.ssl-images-amazon.com/images/P/4093567468.09.LZZZZZZZ,2024_本屋大賞_2024年翻訳小説部門3_不便なコンビニ_キム・ホヨン（著）米津篤八（訳）,https://calil.jp/book/4093567468
ホリー・ジャクソン__卒業生には向かない真実,卒業生には向かない真実,ホリー・ジャクソン,4488135072,https://images-na.ssl-images-amazon.com/images/P/4488135072.09.LZZZZZZZ,2024_本屋大賞_2024年翻訳小説部門2_卒業生には向かない真実_ホリー・ジャクソン（著）服部京子（訳）,https://calil.jp/book/4488135072
ファン・ボルム__ようこそ、ヒュナム洞書店へ,ようこそ、ヒュナム洞書店へ,ファン・ボルム,4087735249,https://images-na.ssl-images-amazon.com/images/P/4087735249.09.LZZZZZZZ,2024_本屋大賞_2024年翻訳小説部門1_ようこそ、ヒュナム洞書店へ_ファン・ボルム（著）牧野実加（訳）,https://calil.jp/book/4087735249
井上夢人__プラスティック,プラスティック,井上夢人,4575231886,https://images-na.ssl-images-amazon.com/images/P/4575231886.09.LZZZZZZZ,2024_本屋大賞_2024年超発掘本_プラスティック_井上夢人,https://calil.jp/book/4575231886
知念実希人__放課後ミステリクラブ １ 金魚の泳ぐプール事件,放課後ミステリクラブ １ 金魚の泳ぐプール事件,知念実希人,4909044450,https://images-na.ssl-images-amazon.com/images/P/4909044450.09.LZZZZZZZ,2024_本屋大賞_2024年 順位9_放課後ミステリクラブ 1 金魚の泳ぐプール事件_知念実希人,https://calil.jp/book/4909044450
