受賞作,著者,賞タイトル,著者__受賞・最終候補作,ISBN10,calil,ImageURL
13階段,高野和明,江戸川乱歩賞,高野和明__13階段,406274838X,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
1R1分34秒,町屋良平,芥川賞,町屋良平__1R1分34秒,4103522712,https://calil.jp/book/4103522712,https://images-na.ssl-images-amazon.com/images/P/4103522712.09.LZZZZZZZ
4TEEN フォーティーン,石田衣良,直木賞,石田衣良__4TEENフォーティーン,4101250510,https://calil.jp/book/4104595012,https://images-na.ssl-images-amazon.com/images/P/4104595012.09.LZZZZZZZ
52ヘルツのクジラたち,町田そのこ,本屋大賞,町田そのこ__52ヘルツのクジラたち,4122073707,https://calil.jp/book/4120052982,https://images-na.ssl-images-amazon.com/images/P/4120052982.09.LZZZZZZZ
GO,金城一紀,直木賞,金城一紀__GO,8937831090,https://calil.jp/book/4062100541,https://images-na.ssl-images-amazon.com/images/P/4062100541.09.LZZZZZZZ
QJKJQ,佐藤究,江戸川乱歩賞,佐藤究__QJKJQ,4065125901,https://calil.jp/book/4062202190,https://images-na.ssl-images-amazon.com/images/P/4062202190.09.LZZZZZZZ
Twelve Y. O.,福井晴敏,江戸川乱歩賞,福井晴敏__Twelve Y. O.,4062731665,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
あかね空,山本一力,直木賞,山本一力__あかね空,416767002X,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
あさくさの子供,長谷健,芥川賞,長谷健__あさくさの子供,,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
あの夕陽,日野啓三,芥川賞,日野啓三__あの夕陽,4061983091,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
いつか汽笛を鳴らして,畑山博,芥川賞,畑山博__いつか汽笛を鳴らして,416740401X,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
おいしいごはんが食べられますように,高瀬隼子,芥川賞,高瀬隼子__おいしいごはんが食べられますように,4065274095,https://calil.jp/book/4065274095,https://images-na.ssl-images-amazon.com/images/P/4065274095.09.LZZZZZZZ
おちくぼ姫,田辺聖子,本屋大賞,田辺聖子__おちくぼ姫,4041314232,https://calil.jp/book/4167903504,https://images-na.ssl-images-amazon.com/images/P/4167903504.09.LZZZZZZZ
おどるでく,室井光広,芥川賞,室井光広__おどるでく,4122073839,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
おらおらでひとりいぐも,若竹千佐子,芥川賞,若竹千佐子__おらおらでひとりいぐも,4309026370,https://calil.jp/book/4309026370,https://images-na.ssl-images-amazon.com/images/P/4309026370.09.LZZZZZZZ
お吟さま,今東光,直木賞,今東光__お吟さま,4101080011,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
かがみの孤城,辻村深月,本屋大賞,辻村深月__かがみの孤城,4591153320,https://calil.jp/book/4591153320,https://images-na.ssl-images-amazon.com/images/P/4591153320.09.LZZZZZZZ
きことわ,朝吹真理子,芥川賞,朝吹真理子__きことわ,4101251819,https://calil.jp/book/4103284625,https://images-na.ssl-images-amazon.com/images/P/4103284625.09.LZZZZZZZ
きれぎれ,町田康,芥川賞,町田康__きれぎれ,4167653036,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
この世の喜びよ,井戸川射子,芥川賞,井戸川射子__この世の喜びよ,4065296838,https://calil.jp/book/4065296838,https://images-na.ssl-images-amazon.com/images/P/4065296838.09.LZZZZZZZ
この人の閾,保坂和志,芥川賞,保坂和志__この人の閾,4103982020,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
この胸に深々と突き刺さる矢を抜け,白石一文,山本周五郎賞,白石一文__この胸に深々と突き刺さる矢を抜け,4062771152,https://calil.jp/book/4062152428,https://images-na.ssl-images-amazon.com/images/P/4062152428.09.LZZZZZZZ
されどわれらが日々──,柴田翔,芥川賞,柴田翔__されどわれらが日々──,4167102013,,https://sktn3pub.s3.us-east-2.amazonaws.com/no_image.jpg
